
[00:00:00.000 --> 00:00:01.400]   Message publicitaire.
[00:00:01.400 --> 00:00:10.220]   Le médicament Dafflon 500 mg, indiqué pour soulager les jambes lourdes et douloureuses dues à l'insuffisance veineuse, agit en renforçant le tonus veineux et en protégeant les vaisseaux sanguins.
[00:00:10.220 --> 00:00:18.720]   Son efficacité a été cliniquement démontrée dans le traitement des troubles de la circulation veineuse, jambes lourdes, douleurs, impatience, en complément des mesures hygiéno-diététiques.
[00:00:18.720 --> 00:00:20.340]   Rendez-vous sur daflon.fr.
[00:00:20.340 --> 00:00:26.240]   Dafflon 500 mg, composé de fractions flavonoïques purifiées micronisées et réservées à l'adulte, est disponible en pharmacie sans ordonnance.
[00:00:26.240 --> 00:00:30.060]   Tout médicament peut exposer à des risques. Parlez-en à votre pharmacien et lisez attentivement la notice.
[00:00:30.060 --> 00:00:32.340]   Si les symptômes persistent, consultez votre médecin.
[00:00:56.240 --> 00:01:15.040]   Bonjour, bonsoir et bienvenue dans ce nouvel épisode du Flotcast.
[00:01:15.040 --> 00:01:18.160]   Comme à l'accoutumée, nous sommes extrêmement bien accompagnés.
[00:01:18.160 --> 00:01:20.880]   Tout d'abord, elle est réalisatrice, scénariste et comédienne.
[00:01:20.880 --> 00:01:24.320]   Vous avez pu voir sa série Genre Humain, son moyen-métrage Fantasme.
[00:01:24.320 --> 00:01:25.840]   Et elle revient avec Hippocampe.
[00:01:26.220 --> 00:01:27.700]   Peut-être déjà sortie, ou peut-être pas.
[00:01:27.700 --> 00:01:29.900]   C'est aussi ça, le mystère du passé, au final.
[00:01:29.900 --> 00:01:31.740]   On est dans une incertitude que vous n'avez pas.
[00:01:31.740 --> 00:01:34.860]   Son rire est capable de tuer un dauphin à plus de 600 mètres.
[00:01:34.860 --> 00:01:36.040]   C'est Léonore Coste.
[00:01:36.040 --> 00:01:38.040]   Pas trop fort, pas trop fort, pas trop fort.
[00:01:38.040 --> 00:01:40.320]   Bonsoir, merci.
[00:01:40.320 --> 00:01:41.520]   Ça va, les macronistes, là.
[00:01:41.520 --> 00:01:45.960]   Alors là, il est remonté comme un coucou avec ce qui vient de se passer.
[00:01:45.960 --> 00:01:48.540]   Alors là, ne l'appelez plus jamais France, d'ailleurs.
[00:01:48.540 --> 00:01:51.600]   Jamais. Déjà, c'était très rare qu'on l'appelle comme ça.
[00:01:51.600 --> 00:01:54.980]   Non, mais là, ne l'appelez... Parce qu'elle l'a laissé tomber, alors là, plus bactère.
[00:01:56.200 --> 00:01:57.900]   C'est quelqu'un qu'on a vu, par ailleurs, dans Fantasme.
[00:01:57.900 --> 00:02:00.800]   Il joue également dans Hippocampe, de la même Léonore Coste.
[00:02:00.800 --> 00:02:03.620]   Vous pourrez aussi le voir dans Le Flambeau, à la fin du mois de mai.
[00:02:03.620 --> 00:02:07.020]   Il sera au Théâtre des Bouffes du Nord pour la pièce Le Rêve et la Plainte.
[00:02:07.020 --> 00:02:08.340]   Ce sera en décembre, c'est ça ?
[00:02:08.340 --> 00:02:09.180]   Tout le mois de décembre.
[00:02:09.180 --> 00:02:10.080]   Tout le mois de décembre.
[00:02:10.080 --> 00:02:14.720]   Il est également le premier influenceur à avoir porté le merch Floodcast à Cannes-Séry.
[00:02:14.720 --> 00:02:15.720]   Et pour ça, merci beaucoup.
[00:02:15.720 --> 00:02:17.280]   C'est Sébastien Chassagne.
[00:02:17.280 --> 00:02:19.100]   Bravo, pas trop fort, pas trop fort.
[00:02:19.100 --> 00:02:19.620]   Merci beaucoup.
[00:02:19.620 --> 00:02:21.320]   Il est dans Le Remplaçant, si tu ne l'as pas dit.
[00:02:21.380 --> 00:02:25.080]   C'est vrai, il a fait plein de choses, mais il est aussi dans le remake de...
[00:02:25.080 --> 00:02:28.680]   Ah oui, ça s'appelle Z comme Z, d'ailleurs.
[00:02:28.680 --> 00:02:30.960]   Oui, Z comme Zemmour.
[00:02:30.960 --> 00:02:34.220]   Oui, le biopic de Zemmour que tu fais.
[00:02:34.220 --> 00:02:35.120]   C'est seulement.
[00:02:35.120 --> 00:02:38.980]   Cut of the... Putain, Don't Cut, Ne Coupez Pas.
[00:02:38.980 --> 00:02:40.880]   Ouais, One Cut of the Dead, je crois.
[00:02:40.880 --> 00:02:42.120]   Ah, c'est vrai, ils font un remake ?
[00:02:42.120 --> 00:02:43.780]   Ça ne s'appelle pas comme ça en japonais, en vrai.
[00:02:43.780 --> 00:02:44.140]   Non, pas du tout, pas du tout.
[00:02:44.140 --> 00:02:45.180]   Il y a un remake de ça.
[00:02:45.180 --> 00:02:48.120]   Mais Ne Coupez Pas, c'était avec cet acteur qu'on adore, là, comment il s'appelle ?
[00:02:48.120 --> 00:02:48.740]   Pas du tout, pas du tout.
[00:02:48.740 --> 00:02:50.220]   Ah non, je dois confondre.
[00:02:50.220 --> 00:02:51.360]   Non, je confonds avec Rambo.
[00:02:51.360 --> 00:02:51.800]   Rambo Binet.
[00:02:51.800 --> 00:02:53.180]   Ah oui, il s'en est sorti avec Black Black.
[00:02:53.180 --> 00:02:54.500]   Je ne sais pas pourquoi je...
[00:02:54.500 --> 00:02:58.420]   Il a dessiné sur ta peau un palmier au bord de l'eau.
[00:02:58.420 --> 00:03:00.300]   Qu'est-ce qu'on est bien, tout est beau.
